State,Organization,School Name,Reporting Year,Site ID (from CISDM),NCES School ID,CIS Model or GYS?,Non-traditional school?,Site Category,Site Type,"SC Presence at School:
 None (0 Hrs), (<32hrs) Part Time, (32+) Full Time",Parents Engaged,Total Alumni Served,Student Enrollment,Number of Students w/ ONLY WS Supports,Non-Case Managed Students,Case Managed Students,Total Students Served,"Students, Female - American Indian","Students, Female - Asian","Students, Female-
 Native Hawaiian/Other Pacific Islander","Students, Female - Black","Students, Female - Hispanic","Students, Female - White","Students, Female - Two or More Races","Students, Female - Other","Students, Female - Unknown","Students, Male - American Indian","Students, Male - Asian","Students, Male - 
Native Hawaiian/Other Pacific Islander","Students, Male - Black","Students, Male - Hispanic","Students, Male - White","Students, Male - Two or More Races","Students, Male - Other","Students, Male - Unknown","Students, Other Gender - American Indian","Students, Other Gender - Asian","Students, Other Gender - 
Native Hawaiian/Other Pacific Islander","Students, Other Gender - Black","Students, Other Gender - Hispanic","Students, Other Gender - White","Students, Other Gender - Two or More Races","Students, Other Gender - Other Race","Students, Other Gender - Unknown Race","Students, Unknown Gender - American Indian","Students, Unknown Gender - Asian","Students, Unknown Gender - 
Native Hawaiian/Other Pacific Islander","Students, Unknown Gender - Black","Students, Unknown Gender - Hispanic","Students, Unknown Gender - White","Students, Unknown Gender - Two or More Races","Students, Unknown Gender - Other Race","Students, Unknown Gender - Unknown Race","Race/Gender
Total","Hispanic, Latino, or Spanish",Middle Eastern or North African (MENA),"Two or More
Ethnicities",None Listed,Unknown,"TOTAL
Ethnicity",Community Eligibility Provision,eligible FRPL,not eligible FRPL,unknown FRPL,FRPL - TOTAL (auto),Adj Youth - Yes,Adj Youth - No,Adj Youth - Unknown,Adj Youth - TOTAL (auto),Child of military - Yes,Child of military - No,Child of military - Unknown,Child of military - TOTAL (auto),ELL - Yes,ELL - No,ELL - Unknown,ELL - TOTAL (auto),Exposed to Trauma - Yes,Exposed to Trauma - No,Exposed to Trauma - Unknown,Exposed to Trauma - TOTAL (auto),Foster care/Group home - Yes,Foster care/Group home - No,Foster care/Group home - Unknown,Foster care/Group home - TOTAL (auto),Gang Involvement - Yes,Gang Involvement - No,Gang Involvement - Unknown,Gang Involvement - TOTAL (auto),Homeless - Yes,Homeless - No,Homeless - Unknown,Homeless - TOTAL (auto),Incarcerated parent - Yes,Incarcerated parent - No,Incarcerated parent - Unknown,Incarcerated parent - TOTAL (auto),LGBTQ+ - Yes,LGBTQ+ - No,LGBTQ+ - Unknown,LGBTQ+ - TOTAL (auto),Over age/Under credit - Yes,Over age/Under credit - No,Over age/Under credit - Unknown,Over age/Under credit - TOTAL (auto),Pregnant/ Parenting - Yes,Pregnant/ Parenting - No,Pregnant/ Parenting - Unknown,Pregnant/ Parenting - TOTAL (auto),Special Education - Yes,Special Education - No,Special Education - Unknown,Special Education - TOTAL (auto),Substance abuse - Yes,Substance abuse - No,Substance abuse - Unknown,Substance abuse - TOTAL (auto),Attendance: CM students w/ goal,Attendance: CM students met goal,"Attendance: CM students not met, with progress","Attendance: CM students not met, no progress",Behavior: CM students w/ goal,Behavior: CM students met goal,"Behavior: CM students not met, with progress","Behavior: CM students not met, no progress",Academics: CM students w/ goal,Academics: CM students met goal,"Academics: CM students not met, with progress","Academics: CM students not met, no progress",SEL: CM students w/ goal,SEL: CM students met goal,"SEL: CM students not met, with progress","SEL: CM students not met, no progress",SEL: CM students progress not shown due to school closure,SEL Metric Name,High Risk Behavior: CM students w/ goal,High Risk Behavior: CM students met goal,"High Risk Behavior: CM students not met, with progress","High Risk Behavior: CM students not met, no progress",College Readiness: CM students w/ goal,College Readiness: CM students met goal,"College Readiness: CM students not met, with progress","College Readiness: CM students not met, no progress",Career Readiness: CM students w/ goal,Career Readiness: CM students met goal,"Career Readiness: CM students not met, with progress","Career Readiness: CM students not met, no progress",K-11 Promoted,K-11 Graduated,K-11 Retained,K-11 Dropped Out,K-11 Transferred,K-11 GED,K-11 Expelled,K-11 Incarcerated,K-11 Deceased,K-11 Other,K-11 Unknown,K-11 TOTAL (auto),Grade 12 Graduated,Grade 12 Retained,Grade 12 Dropped Out,Grade 12 Transferred,Grade 12 GED,Grade 12 Expelled,Grade 12 Incarcerated,Grade 12 Deceased,Grade 12 Other,Grade 12 Unknown,Grade 12 TOTAL (auto),# of PreK Students,# of College Students,# of addl students (Other and Unknown Grade),EOY Status - TOTAL (auto),Grade 12 Graduated in 4 yrs,# Post-secondary School,Cert/ Apprentice,Associate,Bachelor,# Workforce,# Military,# Other,# Unknown,# Student Unsure,# Not Captured,Postsecondary- TOTAL (auto),Organization ID
LA,CIS of the Gulf South,Capdau at Avery Alexander,Not Reporting,145402,000000000000,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Center Street Elementary,Not Reporting,447883,220072000509,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Cohen College Prep,Not Reporting,36745,000000000000,,No,Public Charter,High,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Coteau Elementary School,Not Reporting,537680,220072000510,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behavior Engagement, Emotional Engagement, Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Social Engagement, Social Support (SEAD)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Cypress Academy,Not Reporting,36831,220117002415,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Daspit Road Elementary,Not Reporting,447882,220072001925,,No,Public School,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Other (SEL), Overall SEAD assessment score",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Delcambre Elementary School,Not Reporting,623511,220072001585,,No,Public School,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Edna Karr High School,Not Reporting,723376,220029400000,,No,Community-Based Site,Community-Based Site,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Elan Academy,Not Reporting,452893,220117002438,,No,Public Charter,Elementary,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Behavior Engagement, Cognitive Engagement, Emotional Engagement, Global Engagement (Engagement Survey), Other (SEL), Overall SEAD assessment score, Self Control (SEAD), Social Engagement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Eleanor McMain Secondary School,Not Reporting,723391,220029100945,,No,Community-Based Site,Community-Based Site,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
LA,CIS of the Gulf South,Encore Academy,Not Reporting,36997,220028702350,,No,Public Charter,Combined (any other K-12 combination),,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860
